attrs,values
units,"m/s"
model_var,""
dtime_units,"hour"
level_type,"isobaric"
time_type,"UT"
time_bounds,"[0, 0]"
level,time,dtime,id,lon,lat,wind_speed
0,2022-05-22 15:00:00,0,3105,-6.25000000,55.68099976,4.09999990
0,2022-05-22 15:00:00,0,3111,-5.69700003,55.44100189,7.69999981
0,2022-05-22 15:00:00,0,3132,-4.93499994,54.85900116,8.69999981
0,2022-05-22 15:00:00,0,3134,-4.53200006,55.90700150,6.69999981
0,2022-05-22 15:00:00,0,3136,-4.58500004,55.51499939,7.19999981
0,2022-05-22 15:00:00,0,3144,-3.72900009,56.32600021,5.09999990
0,2022-05-22 15:00:00,0,3153,-4.00799990,54.80300140,8.19999981
0,2022-05-22 15:00:00,0,3155,-3.73600006,55.62699890,8.69999981
0,2022-05-22 15:00:00,0,3158,-2.38499999,55.70899963,8.69999981
0,2022-05-22 15:00:00,0,3162,-3.20700002,55.31200027,6.69999981
0,2022-05-22 15:00:00,0,3166,-3.34400010,55.92800140,6.69999981
0,2022-05-22 15:00:00,0,3171,-2.86299992,56.37699890,5.69999981
0,2022-05-22 15:00:00,0,3204,-4.63199997,54.08499908,8.69999981
0,2022-05-22 15:00:00,0,3210,-3.61500001,54.51800156,9.30000019
0,2022-05-22 15:00:00,0,3212,-3.15700006,54.61399841,2.59999990
0,2022-05-22 15:00:00,0,3214,-3.25799990,54.12500000,5.09999990
0,2022-05-22 15:00:00,0,3220,-2.96399999,54.93399811,
0,2022-05-22 15:00:00,0,3224,-2.55399990,55.04999924,7.19999981
0,2022-05-22 15:00:00,0,3225,-2.68499994,54.50199890,8.69999981
0,2022-05-22 15:00:00,0,3226,-2.41300011,54.57300186,8.69999981
0,2022-05-22 15:00:00,0,3227,-2.45099998,54.68399811,18.00000000
0,2022-05-22 15:00:00,0,3230,-2.27900004,55.28499985,5.09999990
0,2022-05-22 15:00:00,0,3238,-1.88199997,55.02000046,2.09999990
0,2022-05-22 15:00:00,0,3240,-1.60099995,55.42100143,8.19999981
0,2022-05-22 15:00:00,0,3257,-1.53299999,54.29700089,4.59999990
0,2022-05-22 15:00:00,0,3265,-1.38999999,54.20500183,3.59999990
0,2022-05-22 15:00:00,0,3275,-0.86400002,54.56299973,5.09999990
0,2022-05-22 15:00:00,0,3281,-0.67199999,54.35900116,5.69999981
0,2022-05-22 15:00:00,0,3292,-0.17600000,54.09400177,6.69999981
0,2022-05-22 15:00:00,0,3301,-4.37599993,53.25999832,10.30000019
0,2022-05-22 15:00:00,0,3302,-4.53599977,53.25199890,11.30000019
0,2022-05-22 15:00:00,0,3305,-3.94099998,53.09400177,11.80000019
0,2022-05-22 15:00:00,0,3313,-3.50900006,53.25899887,3.59999990
0,2022-05-22 15:00:00,0,3316,-3.05800009,53.49700165,7.19999981
0,2022-05-22 15:00:00,0,3318,-3.03299999,53.76699829,6.19999981
0,2022-05-22 15:00:00,0,3321,-2.98799992,53.17499924,4.09999990
0,2022-05-22 15:00:00,0,3330,-1.98099995,53.12799835,6.69999981
0,2022-05-22 15:00:00,0,3344,-1.86699998,53.81100082,5.09999990
0,2022-05-22 15:00:00,0,3346,-1.66700006,53.61199951,7.19999981
0,2022-05-22 15:00:00,0,3351,-2.38199997,53.36000061,4.09999990
0,2022-05-22 15:00:00,0,3354,-1.25000000,53.01699829,4.09999990
0,2022-05-22 15:00:00,0,3373,-0.54799998,53.30699921,4.59999990
0,2022-05-22 15:00:00,0,3377,-0.51700002,53.18299866,5.09999990
0,2022-05-22 15:00:00,0,3379,-0.50400001,53.03099823,6.19999981
0,2022-05-22 15:00:00,0,3382,-0.44200000,53.87500000,4.59999990
0,2022-05-22 15:00:00,0,3385,0.15300000,53.47499847,4.59999990
0,2022-05-22 15:00:00,0,3391,-0.17299999,53.09400177,5.69999981
0,2022-05-22 15:00:00,0,3392,0.27100000,53.08800125,4.59999990
0,2022-05-22 15:00:00,0,3405,-4.74100018,52.78900146,9.30000019
0,2022-05-22 15:00:00,0,3409,-3.58299994,52.90700150,5.09999990
0,2022-05-22 15:00:00,0,3410,-3.46499991,52.75699997,6.69999981
0,2022-05-22 15:00:00,0,3414,-2.66499996,52.79499817,6.69999981
0,2022-05-22 15:00:00,0,3462,-0.46100000,52.61100006,4.09999990
