attrs,values
units,"1"
model_var,""
dtime_units,"hour"
level_type,"isobaric"
time_type,"UT"
time_bounds,"[0, 0]"
level,time,dtime,id,lon,lat,neighbour_selection_method,vertical_displacement
0,2000-01-01,0,1,0.69559997,51.57139969,nearest,4.79334068
0,2000-01-01,0,2,-0.36829999,51.87440109,nearest,4.86566162
0,2000-01-01,0,3,-1.35669994,50.95029831,nearest,-5.09053230
0,2000-01-01,0,4,0.02950000,51.32149887,nearest,16.85731506
0,2000-01-01,0,5,0.05800000,51.50479889,nearest,1.35948253
0,2000-01-01,0,6,0.93919998,50.95610046,nearest,2.00000000
0,2000-01-01,0,7,-0.62669998,52.07030106,nearest,5.32687378
0,2000-01-01,0,8,-5.87699986,54.61299896,nearest,2.18571663
0,2000-01-01,0,9,-1.74810004,52.45389938,nearest,-0.14728546
0,2000-01-01,0,11,-2.71919990,51.38280106,nearest,19.01957703
0,2000-01-01,0,12,0.17500000,52.20500183,nearest,3.01891899
0,2000-01-01,0,14,-2.80920005,54.93750000,nearest,-3.30914307
0,2000-01-01,0,15,-2.30559993,52.63999939,nearest,-9.45504761
0,2000-01-01,0,17,-3.02579999,56.45249939,nearest,-41.61107635
0,2000-01-01,0,18,-1.32669997,52.83110046,nearest,33.07199478
0,2000-01-01,0,19,-3.41389990,50.73440170,nearest,-3.84323120
0,2000-01-01,0,22,-0.34720001,53.57970047,nearest,-1.94013405
0,2000-01-01,0,23,-4.04750013,57.54240036,nearest,-4.26212883
0,2000-01-01,0,24,0.56110001,52.40940094,nearest,0.34041405
0,2000-01-01,0,25,-1.66059995,53.86579895,nearest,24.06791687
0,2000-01-01,0,26,-2.84999990,53.33359909,nearest,-4.95308113
0,2000-01-01,0,28,0.48830000,52.36080170,nearest,21.55005074
0,2000-01-01,0,29,-1.69169998,55.03749847,nearest,11.11922073
0,2000-01-01,0,30,1.28279996,52.67610168,nearest,16.69975281
0,2000-01-01,0,32,-4.58669996,55.50780106,nearest,-22.18515015
0,2000-01-01,0,33,-1.29920006,60.43220139,nearest,-2.96711159
0,2000-01-01,0,34,-1.38859999,53.39440155,nearest,20.75321579
0,2000-01-01,0,37,-1.42349994,54.51250076,nearest,2.26988602
0,2000-01-01,0,50,-0.12000000,52.34999847,nearest,3.94712448
0,2000-01-01,0,51,-2.16000009,55.25000000,nearest,-74.54083252
0,2000-01-01,0,52,-4.87209988,58.61750031,nearest,25.00000000
0,2000-01-01,0,53,-2.28640008,51.43920135,nearest,21.38525391
0,2000-01-01,0,63,-4.32999992,53.09999847,nearest,2.51634073
0,2000-01-01,0,69,-5.23000002,50.00000000,nearest,0.00000000
0,2000-01-01,0,98,-2.88540006,53.74459839,nearest,-2.03210640
0,2000-01-01,0,111,1.72000003,52.63000107,nearest,-0.79295278
0,2000-01-01,0,127,-1.32040000,51.83560181,nearest,11.06638336
0,2000-01-01,0,134,-1.77999997,51.68000031,nearest,2.25489807
0,2000-01-01,0,139,-0.73710001,51.79119873,nearest,11.27317047
0,2000-01-01,0,201,-3.23289990,54.10639954,nearest,-12.28446007
0,2000-01-01,0,203,-4.94589996,56.28239822,nearest,21.23123169
0,2000-01-01,0,204,-0.22480001,52.72639847,nearest,-0.30857968
0,2000-01-01,0,205,-0.10620000,52.50410080,nearest,2.00000000
0,2000-01-01,0,206,0.10820000,52.83789825,nearest,0.00000000
0,2000-01-01,0,207,-0.02400000,52.43470001,nearest,1.00000000
0,2000-01-01,0,208,-4.85449982,57.13069916,nearest,120.29473877
0,2000-01-01,0,209,-4.13000011,58.04999924,nearest,-111.94915771
0,2000-01-01,0,210,-1.37860000,54.66429901,nearest,-8.64608002
0,2000-01-01,0,211,-2.83010006,55.67060089,nearest,14.06607056
0,2000-01-01,0,212,-1.75950003,54.74380112,nearest,36.78617859
0,2000-01-01,0,213,-2.51620007,55.90069962,nearest,3.27893066
0,2000-01-01,0,216,-4.81160021,55.68460083,nearest,59.40899658
0,2000-01-01,0,217,-0.64260000,53.62699890,nearest,-6.12112808
0,2000-01-01,0,220,1.66719997,52.71260071,nearest,18.25811768
0,2000-01-01,0,222,-3.60019994,52.54940033,nearest,52.76303101
0,2000-01-01,0,223,-5.55870008,55.63779831,nearest,131.80342102
0,2000-01-01,0,224,-1.30159998,54.69319916,nearest,22.94998932
0,2000-01-01,0,225,-1.68460000,54.84700012,nearest,34.46406555
0,2000-01-01,0,226,-3.57399988,54.59460068,nearest,27.94169807
0,2000-01-01,0,228,-5.09399986,54.87549973,nearest,12.22436523
0,2000-01-01,0,229,0.10190000,53.66880035,nearest,25.00000000
0,2000-01-01,0,230,-1.93770003,53.78160095,nearest,88.89227295
0,2000-01-01,0,231,-3.48000002,57.45000076,nearest,23.06820679
0,2000-01-01,0,232,-3.03180003,53.45809937,nearest,-7.62688065
0,2000-01-01,0,233,-3.87879992,52.40940094,nearest,44.31311035
0,2000-01-01,0,234,-4.40939999,53.40719986,nearest,26.97398376
0,2000-01-01,0,235,-3.68330002,54.75000000,nearest,0.00000000
0,2000-01-01,0,237,-1.68789995,53.53789902,nearest,52.39865112
0,2000-01-01,0,238,1.78690004,52.64250183,nearest,0.00000000
0,2000-01-01,0,240,0.14810000,52.58000183,nearest,-0.02599561
0,2000-01-01,0,242,-1.80239999,54.75830078,nearest,15.23431396
0,2000-01-01,0,243,-4.22370005,57.47790146,nearest,11.82576275
0,2000-01-01,0,244,-4.25890017,55.86370087,nearest,-13.10433578
0,2000-01-01,0,245,-1.59700000,54.97700119,nearest,10.19039154
0,2000-01-01,0,246,-5.87699986,54.61299896,nearest,2.18571663
0,2000-01-01,0,247,-1.89649999,52.47969818,nearest,20.69611359
0,2000-01-01,0,248,-2.24110007,53.47629929,nearest,-18.02591324
0,2000-01-01,0,249,-2.58969998,51.45370102,nearest,-11.87923622
0,2000-01-01,0,250,-0.10800000,51.52099991,nearest,-21.80632210
0,2000-01-01,0,251,-3.52999997,50.72190094,nearest,-41.64622498
0,2000-01-01,0,253,-5.57800007,55.57120132,nearest,-5.35324097
0,2000-01-01,0,254,-4.12430000,55.36460114,nearest,128.31466675
0,2000-01-01,0,255,-5.15689993,56.03179932,nearest,122.06373596
0,2000-01-01,0,256,-2.85150003,55.80599976,nearest,26.16378784
0,2000-01-01,0,257,-3.92059994,55.55459976,nearest,128.81304932
0,2000-01-01,0,258,-6.10340023,54.80599976,nearest,97.69308472
0,2000-01-01,0,259,-6.81820011,55.01739883,nearest,65.05130005
0,2000-01-01,0,260,-2.15479994,53.75030136,nearest,36.83724976
0,2000-01-01,0,261,-5.03380013,50.35200119,nearest,63.44845581
0,2000-01-01,0,262,-6.25629997,55.02989960,nearest,77.17565918
0,2000-01-01,0,263,-8.01469994,54.43849945,nearest,60.23655701
0,2000-01-01,0,264,-3.75149989,55.77000046,nearest,12.52734375
0,2000-01-01,0,265,-4.33220005,57.80170059,nearest,115.02331543
0,2000-01-01,0,266,-3.66350007,56.24489975,nearest,81.25259399
0,2000-01-01,0,267,0.15140000,52.58610153,nearest,0.97400439
0,2000-01-01,0,268,-4.24490023,55.68569946,nearest,-0.36468506
0,2000-01-01,0,269,-4.05859995,55.22249985,nearest,88.85287476
0,2000-01-01,0,270,-7.98880005,54.70009995,nearest,111.49694824
0,2000-01-01,0,271,-3.41939998,52.45159912,nearest,83.90750122
0,2000-01-01,0,272,-5.27220011,56.38299942,nearest,73.55450439
0,2000-01-01,0,273,-6.45499992,57.42900085,nearest,68.82118225
0,2000-01-01,0,274,-3.44330001,58.29999924,nearest,-12.64247131
0,2000-01-01,0,275,-2.63700008,57.66099930,nearest,61.05603790
0,2000-01-01,0,276,-4.06479979,56.26350021,nearest,-49.46084595
0,2000-01-01,0,277,-3.37129998,57.53720093,nearest,106.61273193
0,2000-01-01,0,278,-3.45679998,58.42940140,nearest,0.73322296
0,2000-01-01,0,279,-3.75079989,52.40499878,nearest,80.47158813
0,2000-01-01,0,280,-3.65919995,55.18629837,nearest,5.62356567
0,2000-01-01,0,281,-3.35630012,56.67940140,nearest,-21.29278564
0,2000-01-01,0,282,-4.10220003,56.07540131,nearest,3.14257812
0,2000-01-01,0,283,-4.09410000,57.32500076,nearest,11.05847168
0,2000-01-01,0,284,-2.64429998,57.41189957,nearest,46.05862427
0,2000-01-01,0,285,-4.72300005,55.24580002,nearest,-18.41526794
0,2000-01-01,0,286,-2.69300008,57.45019913,nearest,14.09648132
0,2000-01-01,0,287,-3.21630001,55.11270142,nearest,35.30760193
0,2000-01-01,0,288,-2.68939996,59.18960190,nearest,14.17420864
0,2000-01-01,0,289,-5.67910004,55.49380112,nearest,-29.18190002
0,2000-01-01,0,294,-7.02440023,54.96319962,nearest,18.09024048
0,2000-01-01,0,301,-7.61670017,54.15850067,nearest,110.39056396
0,2000-01-01,0,303,-7.11269999,54.50270081,nearest,48.89553833
0,2000-01-01,0,307,-4.88299990,57.71699905,nearest,13.30963135
0,2000-01-01,0,311,-4.02169991,52.30469894,nearest,77.86074829
0,2000-01-01,0,313,-1.41639996,54.76290131,nearest,20.44616699
0,2000-01-01,0,314,-3.17759991,54.18830109,nearest,-25.44223022
0,2000-01-01,0,315,-3.13240004,55.71070099,nearest,47.20849609
0,2000-01-01,0,316,-3.55520010,54.65560150,nearest,2.58995008
0,2000-01-01,0,317,-3.54299998,54.67480087,nearest,10.00000000
0,2000-01-01,0,341,-1.43350005,54.83179855,nearest,20.12133789
0,2000-01-01,0,342,-1.44140005,54.77590179,nearest,-6.13201904
0,2000-01-01,0,343,-1.37629998,54.66680145,nearest,-7.64608002
0,2000-01-01,0,344,-3.38019991,55.15470123,nearest,-41.86169434
0,2000-01-01,0,348,1.13999999,51.45000076,nearest,0.00000000
0,2000-01-01,0,349,0.95969999,50.91339874,nearest,5.00000000
0,2000-01-01,0,350,-1.18110001,54.63550186,nearest,3.00000000
0,2000-01-01,0,351,-2.91779995,54.03049850,nearest,8.00000000
0,2000-01-01,0,352,-3.13170004,51.20709991,nearest,15.00000000
0,2000-01-01,0,353,-4.89650011,55.72019958,nearest,6.01572323
0,2000-01-01,0,355,-2.40799999,55.96799850,nearest,18.00000000
0,2000-01-01,0,356,-0.23029999,52.93460083,nearest,0.00000000
0,2000-01-01,0,357,-3.67389989,52.63790131,nearest,108.79019165
0,2000-01-01,0,358,-4.54589987,50.64799881,nearest,86.35302734
0,2000-01-01,0,359,-3.07850003,54.87300110,nearest,29.93193817
0,2000-01-01,0,362,-1.68799996,54.82049942,nearest,50.91058350
0,2000-01-01,0,363,-0.92379999,53.72679901,nearest,0.87503457
0,2000-01-01,0,364,-1.44180000,54.71879959,nearest,18.00572205
0,2000-01-01,0,365,-3.50189996,54.63090134,nearest,17.10316467
0,2000-01-01,0,366,-1.48969996,55.13499832,nearest,0.00000000
0,2000-01-01,0,368,-3.68630004,58.60409927,nearest,39.97553253
0,2000-01-01,0,383,-3.50000000,54.42100143,nearest,-62.55169678
0,2000-01-01,0,384,-2.20099998,51.86159897,nearest,4.68345261
