attrs,values
units,"m/s"
model_var,""
dtime_units,"hour"
level_type,"isobaric"
time_type,"UT"
time_bounds,"[0, 0]"
level,time,dtime,id,lon,lat,wind_speed
0,2023-02-17 12:00:00,0,1124,12.46700001,64.16699982,
0,2023-02-17 12:00:00,0,2207,12.12199974,63.28300095,2.00000000
0,2023-02-17 12:00:00,0,2209,12.28299999,63.04999924,12.00000000
0,2023-02-17 12:00:00,0,2210,12.16699982,63.18299866,6.00000000
0,2023-02-17 12:00:00,0,2219,14.22099972,64.50399780,4.00000000
0,2023-02-17 12:00:00,0,2221,13.50000000,63.83300018,3.00000000
0,2023-02-17 12:00:00,0,2226,14.50000000,63.19599915,5.00000000
0,2023-02-17 12:00:00,0,2231,14.60000038,63.68299866,1.00000000
0,2023-02-17 12:00:00,0,2307,12.85000038,61.88299942,
0,2023-02-17 12:00:00,0,2308,12.67000008,62.45000076,2.00000000
0,2023-02-17 12:00:00,0,2317,13.61699963,62.09999847,2.00000000
0,2023-02-17 12:00:00,0,2319,13.85000038,62.75000000,0.00000000
0,2023-02-17 12:00:00,0,2321,14.03299999,61.25000000,0.00000000
0,2023-02-17 12:00:00,0,2325,14.14999962,62.50000000,4.00000000
0,2023-02-17 12:00:00,0,2327,14.40699959,62.04600143,3.00000000
0,2023-02-17 12:00:00,0,2329,15.00000000,61.66699982,1.00000000
0,2023-02-17 12:00:00,0,2403,13.11699963,58.70000076,3.00000000
0,2023-02-17 12:00:00,0,2407,13.70699978,60.67599869,2.00000000
0,2023-02-17 12:00:00,0,2408,12.08300018,59.21699905,3.00000000
0,2023-02-17 12:00:00,0,2411,12.63300037,59.66699982,3.00000000
0,2023-02-17 12:00:00,0,2417,13.14999962,58.75000000,8.00000000
0,2023-02-17 12:00:00,0,2418,13.33800030,59.44499969,5.00000000
0,2023-02-17 12:00:00,0,2423,13.11699963,59.86700058,2.00000000
0,2023-02-17 12:00:00,0,2426,13.80000019,60.15000153,2.00000000
0,2023-02-17 12:00:00,0,2429,14.18299961,59.66699982,4.00000000
0,2023-02-17 12:00:00,0,2441,14.50000000,60.96699905,4.00000000
0,2023-02-17 12:00:00,0,2452,14.89900017,59.29899979,3.00000000
0,2023-02-17 12:00:00,0,2500,11.00399971,58.89199829,13.00000000
0,2023-02-17 12:00:00,0,2501,11.06700039,58.58300018,14.00000000
0,2023-02-17 12:00:00,0,2505,11.33300018,58.09999847,12.00000000
0,2023-02-17 12:00:00,0,2513,11.99199963,57.71599960,6.00000000
0,2023-02-17 12:00:00,0,2516,11.60000038,57.63299942,14.00000000
0,2023-02-17 12:00:00,0,2518,11.89999962,57.30400085,13.00000000
0,2023-02-17 12:00:00,0,2520,12.71399975,58.42900085,8.00000000
0,2023-02-17 12:00:00,0,2526,12.28299999,57.66699982,10.00000000
0,2023-02-17 12:00:00,0,2536,13.16699982,57.78300095,5.00000000
0,2023-02-17 12:00:00,0,2539,12.78299999,57.11700058,2.00000000
0,2023-02-17 12:00:00,0,2540,12.19999981,58.59999847,2.00000000
0,2023-02-17 12:00:00,0,2542,13.03299999,58.31700134,6.00000000
0,2023-02-17 12:00:00,0,2544,14.51700020,58.51699829,3.00000000
0,2023-02-17 12:00:00,0,2545,14.56700039,58.56700134,7.00000000
0,2023-02-17 12:00:00,0,2546,14.38300037,58.88299942,3.00000000
0,2023-02-17 12:00:00,0,2548,14.41699982,58.09999847,8.00000000
0,2023-02-17 12:00:00,0,2549,14.46700001,57.50000000,6.00000000
0,2023-02-17 12:00:00,0,2550,14.06900024,57.75099945,6.00000000
0,2023-02-17 12:00:00,0,2556,14.13300037,57.29999924,3.00000000
