attrs,values
units,"m s-1"
model_var,""
dtime_units,"hour"
level_type,"isobaric"
time_type,"UT"
time_bounds,"[0, 0]"
level,time,dtime,id,lon,lat,wind_speed,percentile
0,2023-02-17 06:00:00,6,230,-1.93770003,53.78160095,14.28713036,50.00000000
0,2023-02-17 06:00:00,6,231,-3.48000002,57.45000076,11.87893963,50.00000000
0,2023-02-17 06:00:00,6,232,-3.03180003,53.45809937,10.11742020,50.00000000
0,2023-02-17 06:00:00,6,233,-3.87879992,52.40940094,7.61246014,50.00000000
0,2023-02-17 06:00:00,6,234,-4.40939999,53.40719986,6.83184004,50.00000000
0,2023-02-17 06:00:00,6,235,-3.68330002,54.75000000,9.66114998,50.00000000
0,2023-02-17 06:00:00,6,237,-1.68789995,53.53789902,13.13057995,50.00000000
0,2023-02-17 06:00:00,6,238,1.78690004,52.64250183,9.37755013,50.00000000
0,2023-02-17 06:00:00,6,240,0.14810000,52.58000183,8.14323044,50.00000000
0,2023-02-17 06:00:00,6,242,-1.80239999,54.75830078,13.54553986,50.00000000
0,2023-02-17 06:00:00,6,243,-4.22370005,57.47790146,7.13464022,50.00000000
0,2023-02-17 06:00:00,6,244,-4.25890017,55.86370087,8.55280972,50.00000000
0,2023-02-17 06:00:00,6,245,-1.59700000,54.97700119,10.90324974,50.00000000
0,2023-02-17 06:00:00,6,246,-5.87699986,54.61299896,5.36459017,50.00000000
0,2023-02-17 06:00:00,6,247,-1.89649999,52.47969818,8.20823002,50.00000000
0,2023-02-17 06:00:00,6,248,-2.24110007,53.47629929,8.56027985,50.00000000
0,2023-02-17 06:00:00,6,249,-2.58969998,51.45370102,7.61651993,50.00000000
0,2023-02-17 06:00:00,6,250,-0.10800000,51.52099991,6.20813990,50.00000000
0,2023-02-17 06:00:00,6,251,-3.52999997,50.72190094,6.39514017,50.00000000
0,2023-02-17 06:00:00,6,253,-5.57800007,55.57120132,8.88257027,50.00000000
0,2023-02-17 06:00:00,6,254,-4.12430000,55.36460114,10.62852955,50.00000000
0,2023-02-17 06:00:00,6,255,-5.15689993,56.03179932,8.93118000,50.00000000
0,2023-02-17 06:00:00,6,256,-2.85150003,55.80599976,12.39068985,50.00000000
0,2023-02-17 06:00:00,6,257,-3.92059994,55.55459976,10.89702988,50.00000000
0,2023-02-17 06:00:00,6,258,-6.10340023,54.80599976,6.09989977,50.00000000
0,2023-02-17 06:00:00,6,259,-6.81820011,55.01739883,5.64019012,50.00000000
0,2023-02-17 06:00:00,6,260,-2.15479994,53.75030136,12.59025955,50.00000000
0,2023-02-17 06:00:00,6,261,-5.03380013,50.35200119,7.15021992,50.00000000
0,2023-02-17 06:00:00,6,262,-6.25629997,55.02989960,6.03346014,50.00000000
0,2023-02-17 06:00:00,6,263,-8.01469994,54.43849945,4.10311985,50.00000000
0,2023-02-17 06:00:00,6,264,-3.75149989,55.77000046,9.93146038,50.00000000
0,2023-02-17 06:00:00,6,265,-4.33220005,57.80170059,12.14435959,50.00000000
0,2023-02-17 06:00:00,6,266,-3.66350007,56.24489975,10.57796955,50.00000000
0,2023-02-17 06:00:00,6,267,0.15140000,52.58610153,8.14323044,50.00000000
0,2023-02-17 06:00:00,6,268,-4.24490023,55.68569946,9.66018963,50.00000000
0,2023-02-17 06:00:00,6,269,-4.05859995,55.22249985,9.60441971,50.00000000
0,2023-02-17 06:00:00,6,270,-7.98880005,54.70009995,4.17268991,50.00000000
0,2023-02-17 06:00:00,6,271,-3.41939998,52.45159912,7.76331997,50.00000000
0,2023-02-17 06:00:00,6,272,-5.27220011,56.38299942,9.20553970,50.00000000
0,2023-02-17 06:00:00,6,273,-6.45499992,57.42900085,8.38813972,50.00000000
0,2023-02-17 06:00:00,6,274,-3.44330001,58.29999924,12.38683987,50.00000000
0,2023-02-17 06:00:00,6,275,-2.63700008,57.66099930,12.69771004,50.00000000
0,2023-02-17 06:00:00,6,276,-4.06479979,56.26350021,10.33813953,50.00000000
0,2023-02-17 06:00:00,6,277,-3.37129998,57.53720093,10.34751987,50.00000000
0,2023-02-17 06:00:00,6,278,-3.45679998,58.42940140,11.51045990,50.00000000
0,2023-02-17 06:00:00,6,279,-3.75079989,52.40499878,9.23301029,50.00000000
0,2023-02-17 06:00:00,6,280,-3.65919995,55.18629837,7.82708979,50.00000000
0,2023-02-17 06:00:00,6,281,-3.35630012,56.67940140,10.51854992,50.00000000
0,2023-02-17 06:00:00,6,282,-4.10220003,56.07540131,10.46864986,50.00000000
0,2023-02-17 06:00:00,6,283,-4.09410000,57.32500076,9.53738976,50.00000000
0,2023-02-17 06:00:00,6,284,-2.64429998,57.41189957,12.21784973,50.00000000
0,2023-02-17 06:00:00,6,285,-4.72300005,55.24580002,8.49775982,50.00000000
0,2023-02-17 06:00:00,6,286,-2.69300008,57.45019913,10.93167973,50.00000000
