attrs,values
units,"m s-1"
model_var,""
dtime_units,"hour"
level_type,"isobaric"
time_type,"UT"
time_bounds,"['[', '0', ',', ' ', '0', ']']"
level,time,dtime,id,lon,lat,wind_speed,percentile
0.00000000,2023-02-20 06:00:00,6,233,-3.87879992,52.40940094,4.22809601,50.00000000
0.00000000,2023-02-20 06:00:00,6,234,-4.40939999,53.40719986,5.70903301,50.00000000
0.00000000,2023-02-20 06:00:00,6,235,-3.68330002,54.75000000,7.49746990,50.00000000
0.00000000,2023-02-20 06:00:00,6,237,-1.68789995,53.53789902,7.00452948,50.00000000
0.00000000,2023-02-20 06:00:00,6,238,1.78690004,52.64250183,6.26910019,50.00000000
0.00000000,2023-02-20 06:00:00,6,240,0.14810000,52.58000183,6.01799679,50.00000000
0.00000000,2023-02-20 06:00:00,6,242,-1.80239999,54.75830078,6.75372553,50.00000000
0.00000000,2023-02-20 06:00:00,6,243,-4.22370005,57.47790146,4.15009689,50.00000000
0.00000000,2023-02-20 06:00:00,6,244,-4.25890017,55.86370087,3.17575169,50.00000000
0.00000000,2023-02-20 06:00:00,6,245,-1.59700000,54.97700119,7.38810158,50.00000000
0.00000000,2023-02-20 06:00:00,6,246,-5.87699986,54.61299896,2.91163778,50.00000000
0.00000000,2023-02-20 06:00:00,6,247,-1.89649999,52.47969818,3.98575115,50.00000000
0.00000000,2023-02-20 06:00:00,6,248,-2.24110007,53.47629929,3.47941375,50.00000000
0.00000000,2023-02-20 06:00:00,6,249,-2.58969998,51.45370102,4.14464283,50.00000000
0.00000000,2023-02-20 06:00:00,6,250,-0.10800000,51.52099991,3.12018538,50.00000000
0.00000000,2023-02-20 06:00:00,6,251,-3.52999997,50.72190094,1.55287325,50.00000000
0.00000000,2023-02-20 06:00:00,6,253,-5.57800007,55.57120132,7.31178617,50.00000000
0.00000000,2023-02-20 06:00:00,6,254,-4.12430000,55.36460114,9.54829121,50.00000000
0.00000000,2023-02-20 06:00:00,6,255,-5.15689993,56.03179932,2.76546407,50.00000000
0.00000000,2023-02-20 06:00:00,6,256,-2.85150003,55.80599976,7.64316988,50.00000000
0.00000000,2023-02-20 06:00:00,6,257,-3.92059994,55.55459976,10.10910416,50.00000000
0.00000000,2023-02-20 06:00:00,6,258,-6.10340023,54.80599976,6.55725479,50.00000000
0.00000000,2023-02-20 06:00:00,6,259,-6.81820011,55.01739883,6.00993776,50.00000000
0.00000000,2023-02-20 06:00:00,6,260,-2.15479994,53.75030136,7.84979296,50.00000000
0.00000000,2023-02-20 06:00:00,6,261,-5.03380013,50.35200119,2.47346878,50.00000000
0.00000000,2023-02-20 06:00:00,6,262,-6.25629997,55.02989960,5.62920713,50.00000000
0.00000000,2023-02-20 06:00:00,6,263,-8.01469994,54.43849945,4.67280197,50.00000000
0.00000000,2023-02-20 06:00:00,6,264,-3.75149989,55.77000046,6.91824627,50.00000000
0.00000000,2023-02-20 06:00:00,6,265,-4.33220005,57.80170059,9.32823277,50.00000000
0.00000000,2023-02-20 06:00:00,6,266,-3.66350007,56.24489975,5.07983780,50.00000000
0.00000000,2023-02-20 06:00:00,6,267,0.15140000,52.58610153,6.02891731,50.00000000
0.00000000,2023-02-20 06:00:00,6,268,-4.24490023,55.68569946,6.15232086,50.00000000
0.00000000,2023-02-20 06:00:00,6,269,-4.05859995,55.22249985,6.16717386,50.00000000
0.00000000,2023-02-20 06:00:00,6,270,-7.98880005,54.70009995,6.12435913,50.00000000
0.00000000,2023-02-20 06:00:00,6,271,-3.41939998,52.45159912,4.99525309,50.00000000
0.00000000,2023-02-20 06:00:00,6,272,-5.27220011,56.38299942,2.89490533,50.00000000
0.00000000,2023-02-20 06:00:00,6,273,-6.45499992,57.42900085,2.91208506,50.00000000
0.00000000,2023-02-20 06:00:00,6,274,-3.44330001,58.29999924,7.39639091,50.00000000
0.00000000,2023-02-20 06:00:00,6,275,-2.63700008,57.66099930,6.10818100,50.00000000
0.00000000,2023-02-20 06:00:00,6,276,-4.06479979,56.26350021,3.84640241,50.00000000
0.00000000,2023-02-20 06:00:00,6,277,-3.37129998,57.53720093,7.06102848,50.00000000
0.00000000,2023-02-20 06:00:00,6,278,-3.45679998,58.42940140,7.59640169,50.00000000
0.00000000,2023-02-20 06:00:00,6,279,-3.75079989,52.40499878,5.17740059,50.00000000
0.00000000,2023-02-20 06:00:00,6,280,-3.65919995,55.18629837,3.32826304,50.00000000
0.00000000,2023-02-20 06:00:00,6,281,-3.35630012,56.67940140,3.06821203,50.00000000
0.00000000,2023-02-20 06:00:00,6,282,-4.10220003,56.07540131,3.92191267,50.00000000
0.00000000,2023-02-20 06:00:00,6,283,-4.09410000,57.32500076,6.11319017,50.00000000
0.00000000,2023-02-20 06:00:00,6,284,-2.64429998,57.41189957,5.58550739,50.00000000
0.00000000,2023-02-20 06:00:00,6,285,-4.72300005,55.24580002,5.14283752,50.00000000
