attrs,values
units,""
model_var,""
dtime_units,"hour"
level_type,"isobaric"
time_type,"UT"
time_bounds,"[0, 0]"
level,time,dtime,id,lon,lat,forecast_reference_time_hour,scaled_vertical_displacement
0.00000000,2023-02-17 06:00:00,6,1,0.69559997,51.57139969,6.00000000,1.00872874
0.00000000,2023-02-17 06:00:00,6,2,-0.36829999,51.87440109,6.00000000,1.00886106
0.00000000,2023-02-17 06:00:00,6,3,-1.35669994,50.95029831,6.00000000,0.99081278
0.00000000,2023-02-17 06:00:00,6,4,0.02950000,51.32149887,6.00000000,1.03103602
0.00000000,2023-02-17 06:00:00,6,5,0.05800000,51.50479889,6.00000000,1.00246799
0.00000000,2023-02-17 06:00:00,6,6,0.93919998,50.95610046,6.00000000,1.00363278
0.00000000,2023-02-17 06:00:00,6,7,-0.62669998,52.07030106,6.00000000,1.00970507
0.00000000,2023-02-17 06:00:00,6,8,-5.87699986,54.61299896,6.00000000,0.99579602
0.00000000,2023-02-17 06:00:00,6,9,-1.74810004,52.45389938,6.00000000,0.99973297
0.00000000,2023-02-17 06:00:00,6,11,-2.71919990,51.38280106,6.00000000,1.03508615
0.00000000,2023-02-17 06:00:00,6,12,0.17500000,52.20500183,6.00000000,1.00548863
0.00000000,2023-02-17 06:00:00,6,14,-2.80920005,54.93750000,6.00000000,0.99401814
0.00000000,2023-02-17 06:00:00,6,15,-2.30559993,52.63999939,6.00000000,0.98300302
0.00000000,2023-02-17 06:00:00,6,17,-3.02579999,56.45249939,6.00000000,0.84562993
0.00000000,2023-02-17 06:00:00,6,18,-1.32669997,52.83110046,6.00000000,1.06179750
0.00000000,2023-02-17 06:00:00,6,19,-3.41389990,50.73440170,6.00000000,0.99305600
0.00000000,2023-02-17 06:00:00,6,22,-0.34720001,53.57970047,6.00000000,0.99648851
0.00000000,2023-02-17 06:00:00,6,23,-4.04750013,57.54240036,6.00000000,0.99230206
0.00000000,2023-02-17 06:00:00,6,24,0.56110001,52.40940094,6.00000000,1.00061738
0.00000000,2023-02-17 06:00:00,6,25,-1.66059995,53.86579895,6.00000000,1.04460394
0.00000000,2023-02-17 06:00:00,6,26,-2.84999990,53.33359909,6.00000000,0.99105972
0.00000000,2023-02-17 06:00:00,6,28,0.48830000,52.36080170,6.00000000,1.03984606
0.00000000,2023-02-17 06:00:00,6,29,-1.69169998,55.03749847,6.00000000,1.02036500
0.00000000,2023-02-17 06:00:00,6,30,1.28279996,52.67610168,6.00000000,1.03074157
0.00000000,2023-02-17 06:00:00,6,32,-4.58669996,55.50780106,6.00000000,0.96057409
0.00000000,2023-02-17 06:00:00,6,33,-1.29920006,60.43220139,6.00000000,0.99463475
0.00000000,2023-02-17 06:00:00,6,34,-1.38859999,53.39440155,6.00000000,1.03834474
0.00000000,2023-02-17 06:00:00,6,37,-1.42349994,54.51250076,6.00000000,1.00412405
0.00000000,2023-02-17 06:00:00,6,50,-0.12000000,52.34999847,6.00000000,1.00718224
0.00000000,2023-02-17 06:00:00,6,51,-2.16000009,55.25000000,6.00000000,0.87358409
0.00000000,2023-02-17 06:00:00,6,52,-4.87209988,58.61750031,6.00000000,0.99408400
0.00000000,2023-02-17 06:00:00,6,53,-2.28640008,51.43920135,6.00000000,1.03953540
0.00000000,2023-02-17 06:00:00,6,63,-4.32999992,53.09999847,6.00000000,1.00457287
0.00000000,2023-02-17 06:00:00,6,69,-5.23000002,50.00000000,6.00000000,1.00000000
0.00000000,2023-02-17 06:00:00,6,98,-2.88540006,53.74459839,6.00000000,0.99632233
0.00000000,2023-02-17 06:00:00,6,111,1.72000003,52.63000107,6.00000000,0.99856335
0.00000000,2023-02-17 06:00:00,6,127,-1.32040000,51.83560181,6.00000000,1.02026725
0.00000000,2023-02-17 06:00:00,6,134,-1.77999997,51.68000031,6.00000000,1.00409675
0.00000000,2023-02-17 06:00:00,6,139,-0.73710001,51.79119873,6.00000000,1.02064979
0.00000000,2023-02-17 06:00:00,6,201,-3.23289990,54.10639954,6.00000000,0.97797310
0.00000000,2023-02-17 06:00:00,6,203,-4.94589996,56.28239822,6.00000000,1.03924513
0.00000000,2023-02-17 06:00:00,6,204,-0.22480001,52.72639847,6.00000000,0.99944067
0.00000000,2023-02-17 06:00:00,6,205,-0.10620000,52.50410080,6.00000000,1.00363278
0.00000000,2023-02-17 06:00:00,6,206,0.10820000,52.83789825,6.00000000,1.00000000
0.00000000,2023-02-17 06:00:00,6,207,-0.02400000,52.43470001,6.00000000,1.00181472
0.00000000,2023-02-17 06:00:00,6,208,-4.85449982,57.13069916,6.00000000,1.24372113
0.00000000,2023-02-17 06:00:00,6,209,-4.13000011,58.04999924,6.00000000,0.81629753
0.00000000,2023-02-17 06:00:00,6,210,-1.37860000,54.66429901,6.00000000,0.98444593
0.00000000,2023-02-17 06:00:00,6,211,-2.83010006,55.67060089,6.00000000,1.02583134
0.00000000,2023-02-17 06:00:00,6,212,-1.75950003,54.74380112,6.00000000,1.06897199
