attrs,values
units,"1"
model_var,""
dtime_units,"hour"
level_type,"isobaric"
time_type,"UT"
time_bounds,"[0, 0]"
level,time,dtime,id,lon,lat,forecast_reference_time_hour,scaled_vertical_displacement
0,2000-01-01,6,1,0.69559997,51.57139969,3.00000000,1.00831163
0,2000-01-01,6,2,-0.36829999,51.87440109,3.00000000,1.00843751
0,2000-01-01,6,3,-1.35669994,50.95029831,3.00000000,0.99124807
0,2000-01-01,6,4,0.02950000,51.32149887,3.00000000,1.02953732
0,2000-01-01,6,5,0.05800000,51.50479889,3.00000000,1.00235033
0,2000-01-01,6,6,0.93919998,50.95610046,3.00000000,1.00345957
0,2000-01-01,6,7,-0.62669998,52.07030106,3.00000000,1.00924098
0,2000-01-01,6,8,-5.87699986,54.61299896,3.00000000,0.99599570
0,2000-01-01,6,9,-1.74810004,52.45389938,3.00000000,0.99974567
0,2000-01-01,6,11,-2.71919990,51.38280106,3.00000000,1.03338873
0,2000-01-01,6,12,0.17500000,52.20500183,3.00000000,1.00522673
0,2000-01-01,6,14,-2.80920005,54.93750000,3.00000000,0.99430203
0,2000-01-01,6,15,-2.30559993,52.63999939,3.00000000,0.98380536
0,2000-01-01,6,17,-3.02579999,56.45249939,3.00000000,0.85240513
0,2000-01-01,6,18,-1.32669997,52.83110046,3.00000000,1.05877173
0,2000-01-01,6,19,-3.41389990,50.73440170,3.00000000,0.99338537
0,2000-01-01,6,22,-0.34720001,53.57970047,3.00000000,0.99665540
0,2000-01-01,6,23,-4.04750013,57.54240036,3.00000000,0.99266702
0,2000-01-01,6,24,0.56110001,52.40940094,3.00000000,1.00058806
0,2000-01-01,6,25,-1.66059995,53.86579895,3.00000000,1.04243672
0,2000-01-01,6,26,-2.84999990,53.33359909,3.00000000,0.99148339
0,2000-01-01,6,28,0.48830000,52.36080170,3.00000000,1.03791416
0,2000-01-01,6,29,-1.69169998,55.03749847,3.00000000,1.01938641
0,2000-01-01,6,30,1.28279996,52.67610168,3.00000000,1.02925718
0,2000-01-01,6,32,-4.58669996,55.50780106,3.00000000,0.96241480
0,2000-01-01,6,33,-1.29920006,60.43220139,3.00000000,0.99488950
0,2000-01-01,6,34,-1.38859999,53.39440155,3.00000000,1.03648698
0,2000-01-01,6,37,-1.42349994,54.51250076,3.00000000,1.00392735
0,2000-01-01,6,50,-0.12000000,52.34999847,3.00000000,1.00683928
0,2000-01-01,6,51,-2.16000009,55.25000000,3.00000000,0.87922126
0,2000-01-01,6,52,-4.87209988,58.61750031,3.00000000,0.99436480
0,2000-01-01,6,53,-2.28640008,51.43920135,3.00000000,1.03761876
0,2000-01-01,6,63,-4.32999992,53.09999847,3.00000000,1.00435472
0,2000-01-01,6,69,-5.23000002,50.00000000,3.00000000,1.00000000
0,2000-01-01,6,98,-2.88540006,53.74459839,3.00000000,0.99649704
0,2000-01-01,6,111,1.72000003,52.63000107,3.00000000,0.99863172
0,2000-01-01,6,127,-1.32040000,51.83560181,3.00000000,1.01929343
0,2000-01-01,6,134,-1.77999997,51.68000031,3.00000000,1.00390136
0,2000-01-01,6,139,-0.73710001,51.79119873,3.00000000,1.01965737
0,2000-01-01,6,201,-3.23289990,54.10639954,3.00000000,0.97901034
0,2000-01-01,6,203,-4.94589996,56.28239822,3.00000000,1.03734291
0,2000-01-01,6,204,-0.22480001,52.72639847,3.00000000,0.99946725
0,2000-01-01,6,205,-0.10620000,52.50410080,3.00000000,1.00345957
0,2000-01-01,6,206,0.10820000,52.83789825,3.00000000,1.00000000
0,2000-01-01,6,207,-0.02400000,52.43470001,3.00000000,1.00172830
0,2000-01-01,6,208,-4.85449982,57.13069916,3.00000000,1.23087752
0,2000-01-01,6,209,-4.13000011,58.04999924,3.00000000,0.82422137
0,2000-01-01,6,210,-1.37860000,54.66429901,3.00000000,0.98518074
0,2000-01-01,6,211,-2.83010006,55.67060089,3.00000000,1.02458692
0,2000-01-01,6,212,-1.75950003,54.74380112,3.00000000,1.06558418
0,2000-01-01,6,213,-2.51620007,55.90069962,3.00000000,1.00567818
0,2000-01-01,6,216,-4.81160021,55.68460083,3.00000000,1.10803556
0,2000-01-01,6,217,-0.64260000,53.62699890,3.00000000,0.98948562
0,2000-01-01,6,220,1.66719997,52.71260071,3.00000000,1.03203082
0,2000-01-01,6,222,-3.60019994,52.54940033,3.00000000,1.09539199
0,2000-01-01,6,223,-5.55870008,55.63779831,3.00000000,1.25558400
0,2000-01-01,6,224,-1.30159998,54.69319916,3.00000000,1.04042625
0,2000-01-01,6,225,-1.68460000,54.84700012,3.00000000,1.06131983
0,2000-01-01,6,226,-3.57399988,54.59460068,3.00000000,0.96250254
0,2000-01-01,6,228,-5.09399986,54.87549973,3.00000000,1.02133369
0,2000-01-01,6,229,0.10190000,53.66880035,3.00000000,1.04411590
0,2000-01-01,6,230,-1.93770003,53.78160095,3.00000000,1.16590905
0,2000-01-01,6,231,-3.48000002,57.45000076,3.00000000,1.04063869
0,2000-01-01,6,232,-3.03180003,53.45809937,3.00000000,0.97154307
0,2000-01-01,6,233,-3.87879992,52.40940094,3.00000000,1.07952464
0,2000-01-01,6,234,-4.40939999,53.40719986,3.00000000,1.04768109
0,2000-01-01,6,235,-3.68330002,54.75000000,3.00000000,1.00000000
0,2000-01-01,6,237,-1.68789995,53.53789902,3.00000000,1.09470308
0,2000-01-01,6,238,1.78690004,52.64250183,3.00000000,1.00000000
0,2000-01-01,6,240,0.14810000,52.58000183,3.00000000,0.99995512
0,2000-01-01,6,242,-1.80239999,54.75830078,3.00000000,1.02665603
0,2000-01-01,6,243,-4.22370005,57.47790146,3.00000000,1.02063084
0,2000-01-01,6,244,-4.25890017,55.86370087,3.00000000,0.97762531
0,2000-01-01,6,245,-1.59700000,54.97700119,3.00000000,1.01775265
0,2000-01-01,6,246,-5.87699986,54.61299896,3.00000000,0.99599570
0,2000-01-01,6,247,-1.89649999,52.47969818,3.00000000,1.03638482
0,2000-01-01,6,248,-2.24110007,53.47629929,3.00000000,0.96935201
0,2000-01-01,6,249,-2.58969998,51.45370102,3.00000000,0.97969562
0,2000-01-01,6,250,-0.10800000,51.52099991,3.00000000,0.96304452
0,2000-01-01,6,251,-3.52999997,50.72190094,3.00000000,0.93060952
0,2000-01-01,6,253,-5.57800007,55.57120132,3.00000000,0.99079853
0,2000-01-01,6,254,-4.12430000,55.36460114,3.00000000,1.24804258
0,2000-01-01,6,255,-5.15689993,56.03179932,3.00000000,1.23464346
0,2000-01-01,6,256,-2.85150003,55.80599976,3.00000000,1.04621637
0,2000-01-01,6,257,-3.92059994,55.55459976,3.00000000,1.24911726
0,2000-01-01,6,258,-6.10340023,54.80599976,3.00000000,1.18376303
0,2000-01-01,6,259,-6.81820011,55.01739883,3.00000000,1.11888421
0,2000-01-01,6,260,-2.15479994,53.75030136,3.00000000,1.06567812
0,2000-01-01,6,261,-5.03380013,50.35200119,3.00000000,1.11579168
0,2000-01-01,6,262,-6.25629997,55.02989960,3.00000000,1.14255667
0,2000-01-01,6,263,-8.01469994,54.43849945,3.00000000,1.10962009
0,2000-01-01,6,264,-3.75149989,55.77000046,3.00000000,1.02186823
0,2000-01-01,6,265,-4.33220005,57.80170059,3.00000000,1.21972394
0,2000-01-01,6,266,-3.66350007,56.24489975,3.00000000,1.15062881
0,2000-01-01,6,267,0.15140000,52.58610153,3.00000000,1.00168335
0,2000-01-01,6,268,-4.24490023,55.68569946,3.00000000,0.99937046
0,2000-01-01,6,269,-4.05859995,55.22249985,3.00000000,1.16582966
0,2000-01-01,6,270,-7.98880005,54.70009995,3.00000000,1.21231925
0,2000-01-01,6,271,-3.41939998,52.45159912,3.00000000,1.15591609
0,2000-01-01,6,272,-5.27220011,56.38299942,3.00000000,1.13543451
0,2000-01-01,6,273,-6.45499992,57.42900085,3.00000000,1.12619174
0,2000-01-01,6,274,-3.44330001,58.29999924,3.00000000,0.97840530
0,2000-01-01,6,275,-2.63700008,57.66099930,3.00000000,1.11119151
0,2000-01-01,6,276,-4.06479979,56.26350021,3.00000000,0.91813576
0,2000-01-01,6,277,-3.37129998,57.53720093,3.00000000,1.20213735
0,2000-01-01,6,278,-3.45679998,58.42940140,3.00000000,1.00126696
0,2000-01-01,6,279,-3.75079989,52.40499878,3.00000000,1.14907813
0,2000-01-01,6,280,-3.65919995,55.18629837,3.00000000,1.00975823
0,2000-01-01,6,281,-3.35630012,56.67940140,3.00000000,0.96389902
0,2000-01-01,6,282,-4.10220003,56.07540131,3.00000000,1.00544143
0,2000-01-01,6,283,-4.09410000,57.32500076,3.00000000,1.01927948
0,2000-01-01,6,284,-2.64429998,57.41189957,3.00000000,1.08278346
0,2000-01-01,6,285,-4.72300005,55.24580002,3.00000000,0.96870041
0,2000-01-01,6,286,-2.69300008,57.45019913,3.00000000,1.02464080
0,2000-01-01,6,287,-3.21630001,55.11270142,3.00000000,1.06286693
0,2000-01-01,6,288,-2.68939996,59.18960190,3.00000000,1.02152324
0,2000-01-01,6,289,-5.67910004,55.49380112,3.00000000,0.95085675
0,2000-01-01,6,294,-7.02440023,54.96319962,3.00000000,1.03173161
0,2000-01-01,6,301,-7.61670017,54.15850067,3.00000000,1.21000528
0,2000-01-01,6,303,-7.11269999,54.50270081,3.00000000,1.08810091
0,2000-01-01,6,307,-4.88299990,57.71699905,3.00000000,1.02324951
0,2000-01-01,6,311,-4.02169991,52.30469894,3.00000000,1.14390922
0,2000-01-01,6,313,-1.41639996,54.76290131,3.00000000,1.03593755
0,2000-01-01,6,314,-3.17759991,54.18830109,3.00000000,0.95701700
0,2000-01-01,6,315,-3.13240004,55.71070099,3.00000000,1.08493555
0,2000-01-01,6,316,-3.55520010,54.65560150,3.00000000,1.00448239
0,2000-01-01,6,317,-3.54299998,54.67480087,3.00000000,0.98156774
0,2000-01-01,6,341,-1.43350005,54.83179855,3.00000000,1.03535652
0,2000-01-01,6,342,-1.44140005,54.77590179,3.00000000,0.98946702
0,2000-01-01,6,343,-1.37629998,54.66680145,3.00000000,0.98688340
0,2000-01-01,6,344,-3.38019991,55.15470123,3.00000000,0.93026328
0,2000-01-01,6,348,1.13999999,51.45000076,3.00000000,1.00000000
0,2000-01-01,6,349,0.95969999,50.91339874,3.00000000,1.00867152
0,2000-01-01,6,350,-1.18110001,54.63550186,3.00000000,1.00519383
0,2000-01-01,6,351,-2.91779995,54.03049850,3.00000000,0.99826741
0,2000-01-01,6,352,-3.13170004,51.20709991,3.00000000,1.02065420
0,2000-01-01,6,353,-4.89650011,55.72019958,3.00000000,1.01044226
0,2000-01-01,6,355,-2.40799999,55.96799850,3.00000000,1.03157091
0,2000-01-01,6,356,-0.23029999,52.93460083,3.00000000,1.00000000
0,2000-01-01,6,357,-3.67389989,52.63790131,3.00000000,1.20666599
0,2000-01-01,6,358,-4.54589987,50.64799881,3.00000000,1.16080785
0,2000-01-01,6,359,-3.07850003,54.87300110,3.00000000,1.05304623
0,2000-01-01,6,362,-1.68799996,54.82049942,3.00000000,1.09189355
0,2000-01-01,6,363,-0.92379999,53.72679901,3.00000000,1.00151217
0,2000-01-01,6,364,-1.44180000,54.71879959,3.00000000,1.03158104
0,2000-01-01,6,365,-3.50189996,54.63090134,3.00000000,1.02997458
0,2000-01-01,6,366,-1.48969996,55.13499832,3.00000000,1.00000000
0,2000-01-01,6,368,-3.68630004,58.60409927,3.00000000,1.07146895
0,2000-01-01,6,383,-3.50000000,54.42100143,3.00000000,0.89761358
0,2000-01-01,6,384,-2.20099998,51.86159897,3.00000000,1.00812030
0,2000-01-01,6,385,-1.61940002,52.50809860,3.00000000,0.93991512
0,2000-01-01,6,386,-1.20459998,53.70529938,3.00000000,0.99839950
0,2000-01-01,6,387,-1.04920006,53.20059967,3.00000000,1.00454748
0,2000-01-01,6,388,-1.13220000,53.22650146,3.00000000,0.99893403
0,2000-01-01,6,389,-1.06110001,53.41370010,3.00000000,1.00351799
0,2000-01-01,6,390,-1.64900005,55.24000168,3.00000000,1.00947630
0,2000-01-01,6,391,-2.44700003,53.53200150,3.00000000,0.93284214
0,2000-01-01,6,392,-1.38499999,52.99800110,3.00000000,1.00861073
0,2000-01-01,6,393,-1.38150001,52.69350052,3.00000000,0.97504443
0,2000-01-01,6,394,-1.69079995,53.27330017,3.00000000,0.98750871
0,2000-01-01,6,395,-3.89590001,55.52199936,3.00000000,1.02952135
0,2000-01-01,6,396,-3.82640004,55.61240005,3.00000000,1.01423240
0,2000-01-01,6,397,-3.89479995,55.52209854,3.00000000,1.02952135
0,2000-01-01,6,398,-4.28299999,55.37829971,3.00000000,1.00675440
0,2000-01-01,6,399,-4.40899992,55.45380020,3.00000000,1.07078135
0,2000-01-01,6,400,-4.37659979,55.33319855,3.00000000,0.81443548
0,2000-01-01,6,401,-3.83699989,55.59299850,3.00000000,0.96640229
0,2000-01-01,6,402,-3.15319991,55.82630157,3.00000000,1.16411757
0,2000-01-01,6,403,-3.98690009,55.54079819,3.00000000,0.92502487
0,2000-01-01,6,404,-3.41310000,56.11669922,3.00000000,0.96556658
0,2000-01-01,6,405,-3.88870001,51.69390106,3.00000000,0.87630826
0,2000-01-01,6,406,-3.61350012,51.73149872,3.00000000,1.09470022
0,2000-01-01,6,407,-4.01020002,50.40959930,3.00000000,1.02586770
0,2000-01-01,6,408,-0.82160002,54.55619812,3.00000000,1.15809882
0,2000-01-01,6,409,-7.38000011,54.59000015,3.00000000,1.04759800
0,2000-01-01,6,414,-0.19820000,53.94789886,3.00000000,1.02447009
0,2000-01-01,6,415,-0.08600000,53.81370163,3.00000000,1.01065719
0,2000-01-01,6,416,-4.87260008,55.07630157,3.00000000,1.12554085
0,2000-01-01,6,417,-1.55980003,55.20460129,3.00000000,1.01090097
0,2000-01-01,6,418,-3.27060008,58.40819931,3.00000000,0.98550338
0,2000-01-01,6,419,-4.96029997,50.47219849,3.00000000,1.09429336
0,2000-01-01,6,420,-3.14569998,59.11489868,3.00000000,1.21626711
0,2000-01-01,6,421,-3.66300011,51.68000031,3.00000000,1.09427512
0,2000-01-01,6,422,0.80350000,50.96009827,3.00000000,1.00449026
0,2000-01-01,6,423,-4.43359995,53.36220169,3.00000000,1.03700650
0,2000-01-01,6,424,-3.65070009,53.38109970,3.00000000,1.00000000
0,2000-01-01,6,425,-4.20289993,55.29380035,3.00000000,1.22175610
0,2000-01-01,6,426,6.47489977,48.84550095,3.00000000,1.05620813
0,2000-01-01,6,427,3.81089997,49.70009995,3.00000000,0.95905036
0,2000-01-01,6,428,4.04440022,49.67839813,3.00000000,1.05901909
0,2000-01-01,6,429,-2.04719996,46.94929886,3.00000000,1.01741815
0,2000-01-01,6,430,6.51420021,49.17070007,3.00000000,1.01564443
0,2000-01-01,6,431,0.93580002,49.81209946,3.00000000,1.09552217
0,2000-01-01,6,432,2.29320002,49.65430069,3.00000000,0.98117590
0,2000-01-01,6,433,1.49689996,49.83990097,3.00000000,1.04648316
0,2000-01-01,6,434,-4.13329983,48.18000031,3.00000000,1.05334330
0,2000-01-01,6,436,4.19469976,48.89419937,3.00000000,1.09494615
0,2000-01-01,6,437,-1.45039999,46.41979980,3.00000000,0.98602992
